model,rparentheses_colon,period_asterisk,op_semicolon,snake_case-screaming_snake_case,camel_case-pascal_case,rparentheses_period,snake_case-camel_case,op_lsquarebracket,double_plus_rparentheses,period_name,camel_case-snake_case,lparentheses_name,rsquarebracket_rparentheses,lparentheses_rparentheses,snake_case-pascal_case,op_rsquarebracket,rparentheses_semicolon,op_lparentheses,lsquarebracket_name,op_dash,op_all,camel_case-screaming_snake_case,rparentheses_rparentheses,op_name
Llama-3.1-8B-Instruct,2.4161628580708285,3.3630694510426244,8.926798780487804,2.687599161802125,0.7814890985921081,2.0011228354978354,-0.2916442149378835,2.525257042359378,1.89240434469668,7.339830109896223,0.9909733565226593,5.195978675787916,1.601155303030303,3.797984139677462,0.14591752731627,1.5966903834041883,6.948533965646468,1.5471617002400584,2.3937594268476623,1.533829246411483,28.83600967946155,3.783994570788062,2.43033595886956,14.32876736720278
Llama-3.2-3B-Instruct,2.4161628580708285,3.3630694510426244,8.926798780487804,2.687599161802125,0.7814890985921081,2.0011228354978354,-0.2916442149378835,2.525257042359378,1.89240434469668,7.339830109896223,0.9909733565226593,5.195978675787916,1.601155303030303,3.797984139677462,0.14591752731627,1.5966903834041883,6.948533965646468,1.5471617002400584,2.3937594268476623,1.533829246411483,28.83600967946155,3.783994570788062,2.43033595886956,14.32876736720278
Llama-3.3-70B-Instruct,2.4161628580708285,3.3630694510426244,8.926798780487804,2.687599161802125,0.7814890985921081,2.0011228354978354,-0.2916442149378835,2.525257042359378,1.89240434469668,7.339830109896223,0.9909733565226593,5.195978675787916,1.601155303030303,3.797984139677462,0.14591752731627,1.5966903834041883,6.948533965646468,1.5471617002400584,2.3937594268476623,1.533829246411483,28.83600967946155,3.783994570788062,2.43033595886956,14.32876736720278
Qwen2.5-Coder-1.5B-Instruct,2.4161628580708285,3.3630694510426244,8.926798780487804,2.687599161802125,0.7814890985921081,2.0011228354978354,-0.2916442149378835,2.525257042359378,1.89240434469668,7.339830109896223,0.9909733565226593,5.193921062619191,1.601155303030303,3.797984139677462,0.14591752731627,1.5966903834041883,6.948533965646468,1.5471617002400584,2.391308446455505,1.533829246411483,28.833335499133682,3.783994570788062,2.43033595886956,14.32608043177287
Qwen2.5-Coder-32B-Instruct,2.4161628580708285,3.3630694510426244,8.926798780487804,2.687599161802125,0.7814890985921081,2.0011228354978354,-0.2916442149378835,2.525257042359378,1.89240434469668,7.339830109896223,0.9909733565226593,5.193921062619191,1.601155303030303,3.797984139677462,0.14591752731627,1.5966903834041883,6.948533965646468,1.5471617002400584,2.391308446455505,1.533829246411483,28.833335499133682,3.783994570788062,2.43033595886956,14.32608043177287
Qwen2.5-Coder-7B-Instruct,2.4161628580708285,3.3630694510426244,8.926798780487804,2.687599161802125,0.7814890985921081,2.0011228354978354,-0.2916442149378835,2.525257042359378,1.89240434469668,7.339830109896223,0.9909733565226593,5.193921062619191,1.601155303030303,3.797984139677462,0.14591752731627,1.5966903834041883,6.948533965646468,1.5471617002400584,2.391308446455505,1.533829246411483,28.833335499133682,3.783994570788062,2.43033595886956,14.32608043177287
deepseek-coder-1.3b-instruct,2.179788328548363,3.3359192584880675,8.125619918699186,6.499341415955696,0.7550766764432044,1.9448322510822509,-4.766835054632541,2.258895018489012,0.0,0.4566730951183491,5.774847552740873,0.07118112798604839,1.6089330808080806,4.5253514427562305,-4.0832285585990125,1.4279119430011022,6.497177679036039,1.1766549681661622,-0.014423076923076898,1.1989757775119618,13.842219362255099,14.818054712598386,2.349804086877905,0.5127591344414615
deepseek-coder-33b-instruct,2.179788328548363,3.3359192584880675,8.125619918699186,6.499341415955696,0.7550766764432044,1.9448322510822509,-4.766835054632541,2.258895018489012,0.0,0.4566730951183491,5.774847552740873,0.07118112798604839,1.6089330808080806,4.5253514427562305,-4.0832285585990125,1.4279119430011022,6.497177679036039,1.1766549681661622,-0.014423076923076898,1.1989757775119618,13.842219362255099,14.818054712598386,2.349804086877905,0.5127591344414615
deepseek-coder-6.7b-instruct,2.179788328548363,3.3359192584880675,8.125619918699186,6.499341415955696,0.7550766764432044,1.9448322510822509,-4.766835054632541,2.258895018489012,0.0,0.4566730951183491,5.774847552740873,0.07118112798604839,1.6089330808080806,4.5253514427562305,-4.0832285585990125,1.4279119430011022,6.497177679036039,1.1766549681661622,-0.014423076923076898,1.1989757775119618,13.842219362255099,14.818054712598386,2.349804086877905,0.5127591344414615
